
! Convertion des propriétés typeLibelle en type de noeud


@Etat: #label,typeLibelle,commentaire,,,
Province de Liège,État,,,,
République fédérale d’Allemagne,État,,,,
République française,État,,,,
,,,,,
@Média:  #label,typeLibelle,commentaire,mediaType,mediaPeriodicite,mediaEchelle
20 Minutes,Média,,GPE,Quotidien,
6ter,Média,Gratuit,Télévision,,
Arte,Média,Gratuit,Télévision,,
Atlantico.fr,Média,Pure player,Site,,
Aujourd'hui en France,Média,,GPE,Quotidien,
BFM Business,Média,,Radio,,National
BFM TV,Média,Gratuit,Télévision,,
Bretagne magazine,Média,,Régional,Hebdomadaire,Régional
C8,Média,Gratuit,Télévision,,
Canal +,Média,Semi-payant,Télévision,,
Capital,Média,,GPE,Mensuel,
Centre Presse,Média,,Régional,Quotidien,Régional
Centre Presse Aveyron,Média,,Régional,Quotidien,Régional
Challenges,Média,,GPE,Hebdomadaire,
Charente Libre,Média,,Régional,Quotidien,Régional
Chérie 25,Média,,Télévision,,
Chérie FM,Média,,Radio,,National
CNews,Média,Gratuit,Télévision,,
CNews matin,Média,,GPE,Quotidien,
Corse Matin,Média,,Régional,Quotidien,Régional
Courrier du Loiret,Média,,Régional,Hebdomadaire,Régional
Courrier international,Média,,GPE,Hebdomadaire,
Courrier picard,Média,,Régional,Quotidien,Régional
CStar,Média,Gratuit,Télévision,,
DNA,Média,,Régional,Quotidien,Régional
Dordogne Libre,Média,,Régional,Quotidien,Régional
Elle,Média,,,Hebdomadaire,Féminin
Europe 1,Média,,Radio,,National
Figaro Magazine,Média,,GPE,Hebdomadaire,
FIP,Média,,Radio,,National
France 2,Média,Gratuit,Télévision,,
France 24,Média,,Télévision,,International
France 3,Média,Gratuit,Télévision,,
France 4,Média,Gratuit,Télévision,,
France 5,Média,Gratuit,Télévision,,
France Antilles,Média,,Régional,Quotidien,Régional
France Bleu,Média,,Radio,,National
France Culture,Média,,Radio,,National
France Guyane,Média,,Régional,Quotidien,Régional
France info,Média,Gratuit,Télévision/radio,,
France Info,Média,,Radio,,National
France Inter,Média,,Radio,,National
France Musique,Média,,Radio,,National
France Ô,Média,Gratuit,Télévision,,
Fun Radio,Média,,Radio,National,
Gulli,Média,Gratuit,Télévision,,
Harvard Business Review,Média,,GPE,Bimestriel,
Haute Gironde,Média,,Régional,Hebdomadaire,Régional
Haute Saintonge,Média,,Régional,Hebdomadaire,Régional
Havre Dimanche,Média,,Régional,Hebdomadaire,Régional
Havre Libre,Média,,Régional,Quotidien,Régional
Historia,Média,,GPE,Mensuel,
Huffingtonpost.fr,Média,Pure player,Site,,
i24 News,Média,,Télévision,,
Investir,Média,,GPE,Hebdomadaire,
Investir Magazine,Média,,GPE,Mensuel,
Journal de Gien,Média,,Régional,Hebdomadaire,Régional
L'Agefi hebdo,Média,,GPE,Hebdomadaire,
L'aisne Nouvelle,Média,,Régional,Quotidien,Régional
L'Alsace,Média,,Régional,Quotidien,Régional
L'Avenir de l'Artois,Média,,Régional,Hebdomadaire,Régional
L'Echo de la Lys,Média,,Régional,Hebdomadaire,Régional
L'Eclair,Média,,Régional,Quotidien,Régional
L'Essor savoyard,Média,,Régional,Hebdomadaire,Régional
L'Est républicain,Média,,Régional,Quotidien,Régional
L'Est-éclair - Libération Champagne,Média,,Régional,Quotidien,Régional
L'Express,Média,,GPE,Hebdomadaire,
L'Express (Neuchâtel),Média,,Suisse,,
L'Hebdo de Charente-Maritime,Média,,Régional,Hebdomadaire,Régional
L'histoire,Média,,GPE,Mensuel,
